word,set,concreteness,conc_category
a,remained,1.46,Very Abstract
abandon,added,2.54,Abstract
ability,remained,1.81,Very Abstract
able,remained,2.38,Abstract
abortion,added,3.41,Moderate
about,remained,1.77,Very Abstract
above,remained,3.33,Moderate
abroad,remained,2.72,Abstract
absence,remained,2.31,Abstract
absent,removed,2.70,Abstract
absolute,remained,1.81,Very Abstract
absolutely,added,1.97,Very Abstract
abstract,added,1.45,Very Abstract
abuse,added,2.71,Abstract
academic,added,2.11,Abstract
accept,remained,3.03,Moderate
acceptable,added,1.93,Very Abstract
access,added,2.71,Abstract
accident,remained,3.26,Moderate
accommodation,added,2.96,Abstract
accompany,added,3.07,Moderate
accomplish,added,2.33,Abstract
accord,remained,1.57,Very Abstract
account,remained,3.08,Moderate
accurate,added,1.90,Very Abstract
accuse,remained,2.25,Abstract
accustom,removed,1.48,Very Abstract
ache,removed,3.43,Moderate
achieve,added,2.29,Abstract
achievement,added,2.37,Abstract
acknowledge,added,2.03,Abstract
acquire,added,2.93,Abstract
acquisition,added,2.60,Abstract
across,remained,3.07,Moderate
act,remained,2.46,Abstract
action,remained,2.86,Abstract
active,remained,3.32,Moderate
activity,added,2.72,Abstract
actor,remained,4.57,Very Concrete
actress,removed,4.54,Very Concrete
actual,remained,2.22,Abstract
actually,added,1.37,Very Abstract
ad,added,4.46,Concrete
adapt,added,2.41,Abstract
add,remained,3.00,Abstract
addition,added,2.89,Abstract
additional,added,2.43,Abstract
address,remained,3.89,Moderate
adequate,added,1.97,Very Abstract
adjust,added,2.93,Abstract
adjustment,added,2.81,Abstract
administration,added,2.78,Abstract
admire,remained,2.04,Abstract
admission,removed,2.83,Abstract
admit,remained,2.32,Abstract
adopt,remained,2.36,Abstract
adoption,removed,3.03,Moderate
adult,added,4.40,Concrete
advance,remained,2.57,Abstract
advantage,remained,2.00,Very Abstract
adventure,remained,2.59,Abstract
advertise,remained,2.81,Abstract
advertisement,added,3.77,Moderate
advice,remained,2.73,Abstract
advise,remained,2.03,Abstract
adviser,added,3.67,Moderate
advocate,added,2.72,Abstract
affair,remained,2.45,Abstract
affect,added,1.93,Very Abstract
afford,remained,1.83,Very Abstract
afraid,remained,2.70,Abstract
after,remained,2.12,Abstract
afternoon,remained,3.70,Moderate
again,remained,2.00,Very Abstract
against,remained,1.80,Very Abstract
age,remained,2.86,Abstract
agency,remained,3.87,Moderate
agenda,added,2.66,Abstract
agent,remained,3.61,Moderate
aggressive,added,2.54,Abstract
ago,remained,1.42,Very Abstract
agree,remained,2.31,Abstract
agreement,added,2.22,Abstract
agricultural,added,3.29,Moderate
agriculture,removed,3.67,Moderate
ahead,remained,3.00,Abstract
aid,added,3.10,Moderate
aim,remained,3.27,Moderate
air,remained,4.11,Concrete
aircraft,added,4.40,Concrete
airline,added,4.00,Moderate
airplane,removed,4.96,Very Concrete
alarm,added,4.47,Concrete
album,added,4.69,Very Concrete
alcohol,added,4.76,Very Concrete
alike,removed,2.38,Abstract
alive,remained,3.14,Moderate
all,remained,2.27,Abstract
allege,added,1.76,Very Abstract
allow,remained,2.41,Abstract
allowance,removed,3.07,Moderate
ally,added,2.61,Abstract
almost,remained,1.66,Very Abstract
alone,remained,2.86,Abstract
along,remained,2.14,Abstract
alongside,added,2.82,Abstract
aloud,removed,3.10,Moderate
already,remained,1.64,Very Abstract
alright,added,1.93,Very Abstract
also,remained,1.83,Very Abstract
alter,added,3.07,Moderate
alternative,added,2.46,Abstract
although,remained,1.07,Very Abstract
altogether,remained,2.36,Abstract
always,remained,1.71,Very Abstract
amaze,added,2.00,Very Abstract
ambition,removed,1.74,Very Abstract
ambitious,removed,1.81,Very Abstract
amendment,added,2.44,Abstract
among,remained,2.38,Abstract
amongst,removed,2.81,Abstract
amount,remained,2.74,Abstract
amuse,removed,2.57,Abstract
analysis,added,2.56,Abstract
analyst,added,4.23,Concrete
analyze,added,2.30,Abstract
ancient,remained,2.04,Abstract
and,remained,1.52,Very Abstract
anger,remained,2.41,Abstract
angle,remained,3.50,Moderate
angry,remained,2.53,Abstract
animal,remained,4.61,Very Concrete
announce,added,3.31,Moderate
announcement,added,2.79,Abstract
annoy,removed,1.93,Very Abstract
annoyance,removed,2.14,Abstract
annual,added,1.78,Very Abstract
another,remained,2.69,Abstract
answer,remained,2.89,Abstract
anticipate,added,1.54,Very Abstract
anxiety,remained,2.21,Abstract
anxious,remained,1.68,Very Abstract
any,remained,1.72,Very Abstract
anybody,remained,2.67,Abstract
anyhow,removed,1.48,Very Abstract
anymore,added,2.04,Abstract
anyone,remained,2.70,Abstract
anything,remained,1.38,Very Abstract
anyway,remained,1.68,Very Abstract
anywhere,remained,2.21,Abstract
apart,remained,3.15,Moderate
apartment,added,4.90,Very Concrete
apologize,added,2.63,Abstract
apology,removed,2.86,Abstract
apparent,added,1.73,Very Abstract
apparently,added,1.75,Very Abstract
appeal,added,1.73,Very Abstract
appear,remained,3.13,Moderate
appearance,remained,2.57,Abstract
applaud,removed,3.80,Moderate
applause,removed,4.29,Concrete
apple,removed,5.00,Very Concrete
application,remained,3.40,Moderate
