word,set,pos
a,remained,other
ability,remained,noun
able,remained,adjective
about,remained,other
above,remained,other
abroad,remained,adverb
absence,remained,noun
absolute,remained,noun
accept,remained,noun
accident,remained,noun
accord,remained,noun
account,remained,noun
accuse,remained,noun
across,remained,other
act,remained,noun
action,remained,noun
active,remained,adjective
actor,remained,noun
actual,remained,adjective
add,remained,verb
address,remained,noun
admire,remained,noun
admit,remained,noun
adopt,remained,noun
advance,remained,noun
advantage,remained,noun
adventure,remained,noun
advertise,remained,noun
advice,remained,noun
advise,remained,noun
affair,remained,noun
afford,remained,noun
afraid,remained,adjective
after,remained,other
afternoon,remained,noun
again,remained,adverb
against,remained,other
age,remained,noun
agency,remained,noun
agent,remained,noun
ago,remained,adverb
agree,remained,noun
ahead,remained,adverb
aim,remained,noun
air,remained,noun
alive,remained,adjective
all,remained,other
allow,remained,verb
almost,remained,adverb
alone,remained,adverb
along,remained,other
already,remained,adverb
also,remained,adverb
although,remained,other
altogether,remained,adverb
always,remained,adverb
among,remained,other
amount,remained,noun
ancient,remained,noun
and,remained,other
anger,remained,noun
angle,remained,noun
angry,remained,adjective
animal,remained,noun
another,remained,other
answer,remained,noun
anxiety,remained,noun
anxious,remained,adjective
any,remained,other
anybody,remained,noun
anyone,remained,noun
anything,remained,noun
anyway,remained,adverb
anywhere,remained,adverb
apart,remained,adverb
appear,remained,verb
appearance,remained,noun
application,remained,noun
apply,remained,verb
appoint,remained,noun
approve,remained,verb
argue,remained,noun
arise,remained,noun
arm,remained,noun
army,remained,noun
around,remained,other
arrange,remained,noun
arrest,remained,noun
arrive,remained,verb
art,remained,noun
article,remained,noun
ashamed,remained,verb
aside,remained,adverb
ask,remained,noun
association,remained,noun
at,remained,other
attack,remained,noun
attempt,remained,noun
attend,remained,noun
attention,remained,noun
attract,remained,noun
attraction,remained,noun
attractive,remained,adjective
audience,remained,noun
aunt,remained,noun
autumn,remained,noun
average,remained,adjective
avoid,remained,noun
away,remained,adverb
baby,remained,noun
back,remained,adverb
bad,remained,adjective
bag,remained,noun
balance,remained,noun
ball,remained,noun
band,remained,noun
bank,remained,noun
bar,remained,noun
base,remained,noun
basic,remained,adjective
basis,remained,noun
bath,remained,noun
battle,remained,noun
be,remained,verb
bear,remained,noun
beat,remained,noun
beauty,remained,noun
because,remained,other
become,remained,noun
bed,remained,noun
bedroom,remained,noun
before,remained,other
begin,remained,noun
behave,remained,noun
behavior,remained,noun
behind,remained,other
belief,remained,noun
believe,remained,verb
bell,remained,noun
belong,remained,noun
below,remained,other
belt,remained,noun
bend,remained,noun
beneath,remained,adverb
beside,remained,noun
besides,remained,other
between,remained,other
beyond,remained,other
big,remained,adjective
bill,remained,noun
bind,remained,noun
bird,remained,noun
birth,remained,noun
bit,remained,noun
bite,remained,noun
black,remained,adjective
blame,remained,noun
bless,remained,noun
blind,remained,noun
block,remained,noun
blood,remained,noun
blow,remained,noun
blue,remained,noun
board,remained,noun
boat,remained,noun
body,remained,noun
bone,remained,noun
book,remained,noun
border,remained,noun
borrow,remained,noun
both,remained,other
bottle,remained,noun
bottom,remained,noun
boundary,remained,noun
bowl,remained,noun
box,remained,noun
boy,remained,noun
brain,remained,noun
branch,remained,noun
bread,remained,noun
break,remained,noun
breakfast,remained,noun
breath,remained,noun
breathe,remained,noun
bridge,remained,noun
bright,remained,noun
bring,remained,noun
broad,remained,adjective
broadcast,remained,noun
brother,remained,noun
brown,remained,noun
brush,remained,noun
build,remained,noun
bunch,remained,noun
burn,remained,noun
burst,remained,noun
bury,remained,noun
bus,remained,noun
business,remained,noun
busy,remained,adjective
but,remained,other
button,remained,noun
buy,remained,verb
by,remained,other
cake,remained,noun
calculate,remained,noun
call,remained,noun
calm,remained,noun
camera,remained,noun
camp,remained,noun
can,remained,other
cap,remained,noun
capital,remained,noun
car,remained,noun
card,remained,noun
care,remained,noun
carry,remained,noun
