word,set,usas_tag,usas_top_level,usas_top_level_name
a,remained,Z5,Z,Names and Grammar
abandon,added,A1.7-,A,General and Abstract Terms
ability,remained,X9.1+,X,"Psychological Actions, States and Processes"
able,remained,X9.1+,X,"Psychological Actions, States and Processes"
abortion,added,B3,B,The Body and the Individual
about,remained,Z5,Z,Names and Grammar
above,remained,Z5,Z,Names and Grammar
abroad,remained,M7,M,"Movement, Location, Travel and Transport"
absence,remained,S1.1.3-,S,"Social Actions, States and Processes"
absent,removed,S1.1.3-,S,"Social Actions, States and Processes"
absolute,remained,A5.1+++,A,General and Abstract Terms
absolutely,added,A13.2,A,General and Abstract Terms
abstract,added,A1.6,A,General and Abstract Terms
abuse,added,E3-,E,Emotion
academic,added,P1,P,Education
accept,remained,A9+,A,General and Abstract Terms
acceptable,added,A5.1+,A,General and Abstract Terms
access,added,M1,M,"Movement, Location, Travel and Transport"
accident,remained,A1.1.2,A,General and Abstract Terms
accommodation,added,H4,H,"Architecture, Housing and the Home"
accompany,added,S3.1,S,"Social Actions, States and Processes"
accomplish,added,X9.2+,X,"Psychological Actions, States and Processes"
accord,remained,Q2.2,Q,Language and Communication
account,remained,Q2.2,Q,Language and Communication
accurate,added,A5.3+,A,General and Abstract Terms
accuse,remained,Q2.2,Q,Language and Communication
accustom,removed,A6.2+,A,General and Abstract Terms
ache,removed,B2-,B,The Body and the Individual
achieve,added,A9+,A,General and Abstract Terms
achievement,added,X9.2+,X,"Psychological Actions, States and Processes"
acknowledge,added,Q2.2,Q,Language and Communication
acquire,added,A9+,A,General and Abstract Terms
acquisition,added,A9+,A,General and Abstract Terms
across,remained,Z5,Z,Names and Grammar
act,remained,A1.1.1,A,General and Abstract Terms
action,remained,A1.1.1,A,General and Abstract Terms
active,remained,A1.1.1,A,General and Abstract Terms
activity,added,A1.1.1,A,General and Abstract Terms
actor,remained,K4/S2.2m,K,"Entertainment, Sports and Games"
actress,removed,K4/S2.1f,K,"Entertainment, Sports and Games"
actual,remained,A5.4+,A,General and Abstract Terms
actually,added,A5.4+,A,General and Abstract Terms
ad,added,A13.4,A,General and Abstract Terms
adapt,added,A2.1+,A,General and Abstract Terms
add,remained,N5+/A2.1,N,Numbers and Measurement
addition,added,N5++,N,Numbers and Measurement
additional,added,N5++,N,Numbers and Measurement
address,remained,H4,H,"Architecture, Housing and the Home"
adequate,added,N5+,N,Numbers and Measurement
adjust,added,A2.1+,A,General and Abstract Terms
adjustment,added,A2.1+,A,General and Abstract Terms
administration,added,S7.1+c,S,"Social Actions, States and Processes"
admire,remained,S7.2+,S,"Social Actions, States and Processes"
admission,removed,S7.4+/M1,S,"Social Actions, States and Processes"
admit,remained,Q2.2,Q,Language and Communication
adopt,remained,A9+,A,General and Abstract Terms
adoption,removed,A9+,A,General and Abstract Terms
adult,added,T3+/S2mf,T,Time
advance,remained,I1.1,I,Money and Commerce in Industry
advantage,remained,A5.1+,A,General and Abstract Terms
adventure,remained,X8+,X,"Psychological Actions, States and Processes"
advertise,remained,I2.2/Q2.1,I,Money and Commerce in Industry
advertisement,added,I2.2/Q2.1,I,Money and Commerce in Industry
advice,remained,Q2.2/S8+,Q,Language and Communication
advise,remained,Q2.2/S8+,Q,Language and Communication
adviser,added,S8+/S2mf,S,"Social Actions, States and Processes"
advocate,added,Q2.2,Q,Language and Communication
affair,remained,A1.1.1,A,General and Abstract Terms
affect,added,A2.2/E1,A,General and Abstract Terms
afford,remained,I1.1,I,Money and Commerce in Industry
afraid,remained,E5-,E,Emotion
after,remained,Z5,Z,Names and Grammar
afternoon,remained,T1.3,T,Time
again,remained,N6+,N,Numbers and Measurement
against,remained,A5.1-,A,General and Abstract Terms
age,remained,T3++,T,Time
agency,remained,I2.2/S5+c,I,Money and Commerce in Industry
agenda,added,Q1.2/X7+,Q,Language and Communication
agent,remained,I2.1/S2mf,I,Money and Commerce in Industry
